"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";"VALUE";
"7";"0.1uF";"C-EUC0603";"C0603";"C1, C10, C12, C15, C18, C19, C22";"CAPACITOR, European symbol";"";"";
"6";"1000pF ";"C-EUC0603";"C0603";"C7, C8, C20, C21, C23, C24";"CAPACITOR, European symbol";"";"";
"1";"100uF";"C-EUC3225";"C3225";"C5";"CAPACITOR, European symbol";"";"";
"8";"10k";"R-EU_R0603";"R0603";"R3, R4, R5, R6, R14, R15, R23, R24";"RESISTOR, European symbol";"";"";
"3";"10uF";"C-EUC0603";"C0603";"C6, C9, C13";"CAPACITOR, European symbol";"";"";
"2";"10uF";"C-EUC3216";"C3216";"C2, C11";"CAPACITOR, European symbol";"";"";
"2";"1k";"R-EU_R0603";"R0603";"R12, R13";"RESISTOR, European symbol";"";"";
"2";"1uF";"C-EUC0603";"C0603";"C3, C4";"CAPACITOR, European symbol";"";"";
"2";"27";"R-EU_R0603";"R0603";"R17, R18";"RESISTOR, European symbol";"";"";
"1";"270pF";"C-EUC0603";"C0603";"C14";"CAPACITOR, European symbol";"";"";
"3";"27k";"R-EU_R0603";"R0603";"R1, R7, R11";"RESISTOR, European symbol";"";"";
"1";"2DC-0415D200";"2DC-0415D200";"2DC-0415D200";"J2";"";"";"";
"2";"3.3k";"R-EU_R0603";"R0603";"R8, R9";"RESISTOR, European symbol";"";"";
"4";"4.7k";"R-EU_R0603";"R0603";"R10, R20, R21, R25";"RESISTOR, European symbol";"";"";
"2";"47pF";"C-EUC0603";"C0603";"C16, C17";"CAPACITOR, European symbol";"";"";
"1";"8.2k";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";
"1";"ADP3338AKCZ-3.3";"ADP3338AKCZ-3.3";"SOT233";"U5";"";"";"";
"1";"BME280";"BME280";"LGA-8-2.5X2.5";"U9";"Bosch BME280 &ndash; Combined Humidity and Pressure Sensor";"IC-13090";"BME280";
"2";"BSS138";"BSS138";"SOT23-N-MOSFET";"Q1, Q2";"";"";"";
"1";"BZX584C3V9";"BZX584C3V9";"SOD-523";"D2";"";"";"";
"1";"DS3231M";"DS3231M";"SO08";"U4";"DS3231M Real Time Clock";"IC-11985";"";
"2";"FSM-21045-7";"FSM-21045-7";"FSM-21045-7";"J3, J6";"";"";"";
"1";"FT231XS";"FT231XS";"SSOP20_L";"U1";"FTDI FT231X Full Speed USB to Full-handshake UART";"IC-11524";"FT231XS";
"1";"IV18";"IV18";"IV18";"DIS1";"LCD DISPLAY";"";"";
"4";"JTP1230D";"JTP1230D";"JTP1230D";"SW3, SW4, SW5, SW6";"";"";"";
"1";"MAX6921AWI+";"MAX6921AWI+";"SOIC-28-MI";"U2";"";"";"";
"1";"NJW4131";"NJW4131";"HSOP8";"U3";"";"";"";
"1";"NR10050T470M";"NR10050T470M";"NR10050T100M";"L1";"";"";"";
"1";"PSF-A85";"PSF-A85";"PSF-A85";"U6";"";"";"";
"2";"PSM-210223-7";"PSM-210223-7";"PSM-210223-7";"J4, J5";"";"";"";
"1";"PVZ3A104C01";"PVZ3A104C01";"PVZ3A";"VR1";"";"";"";
"1";"RX";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1";"LED";"";"";
"2";"SKRPACE010";"SKRPACE010";"SKRPACE010";"SW1, SW2";"";"";"";
"1";"SMTU2032";"SMTU2032";"SMTU2032";"BATT1";"";"";"";
"1";"SS2040FL";"SS2040FL";"SOD-123FL";"D1";"";"";"";
"1";"TX";"LEDCHIPLED_0603";"CHIPLED_0603";"LED2";"LED";"";"";
"1";"ZX62R-AB-5P";"ZX62R-AB-5P";"ZX62R-B-5PA";"J1";"";"";"";
